stoch file 
scenario 1 Probability 0.002
	epsilon 0.750279
	b 0.540826
	m 0.882116
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 2 Probability 0.002
	epsilon 0.875153
	b 0.59724
	m 1.11086
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 3 Probability 0.002
	epsilon 0.859213
	b 0.578919
	m 0.939365
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 4 Probability 0.002
	epsilon 0.764376
	b 0.680314
	m 1.02198
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 5 Probability 0.002
	epsilon 0.814512
	b 0.595796
	m 0.772225
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 6 Probability 0.002
	epsilon 0.839835
	b 0.50339
	m 1.23185
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 7 Probability 0.002
	epsilon 0.917156
	b 0.692725
	m 1.05669
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 8 Probability 0.002
	epsilon 0.782987
	b 0.603055
	m 0.815709
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 9 Probability 0.002
	epsilon 0.901978
	b 0.617135
	m 1.2406
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 10 Probability 0.002
	epsilon 0.929974
	b 0.556585
	m 0.955107
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 11 Probability 0.002
	epsilon 0.935437
	b 0.589076
	m 0.908203
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 12 Probability 0.002
	epsilon 0.895351
	b 0.518044
	m 1.24877
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 13 Probability 0.002
	epsilon 0.9143
	b 0.540859
	m 0.960168
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 14 Probability 0.002
	epsilon 0.83053
	b 0.543277
	m 1.02572
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 15 Probability 0.002
	epsilon 0.754523
	b 0.601241
	m 0.79766
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 16 Probability 0.002
	epsilon 0.863138
	b 0.606852
	m 0.774059
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 17 Probability 0.002
	epsilon 0.796897
	b 0.562671
	m 1.06113
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 18 Probability 0.002
	epsilon 0.832535
	b 0.615259
	m 0.904664
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 19 Probability 0.002
	epsilon 0.904883
	b 0.507791
	m 0.807013
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 20 Probability 0.002
	epsilon 0.789112
	b 0.614099
	m 0.934316
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 21 Probability 0.002
	epsilon 0.868089
	b 0.634656
	m 1.1604
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 22 Probability 0.002
	epsilon 0.751201
	b 0.531212
	m 0.96212
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 23 Probability 0.002
	epsilon 0.890394
	b 0.500898
	m 0.815837
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 24 Probability 0.002
	epsilon 0.855402
	b 0.616976
	m 1.10664
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 25 Probability 0.002
	epsilon 0.864886
	b 0.589872
	m 1.20468
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 26 Probability 0.002
	epsilon 0.777488
	b 0.54757
	m 0.954
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 27 Probability 0.002
	epsilon 0.836024
	b 0.614384
	m 0.96825
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 28 Probability 0.002
	epsilon 0.894409
