stoch file 
scenario 1 Probability 0.00133333
	epsilon 0.913404
	b 0.585584
	m 1.13888
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 2 Probability 0.00133333
	epsilon 0.755666
	b 0.660994
	m 0.822349
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 3 Probability 0.00133333
	epsilon 0.833385
	b 0.528179
	m 0.940558
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 4 Probability 0.00133333
	epsilon 0.895823
	b 0.661428
	m 1.10408
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 5 Probability 0.00133333
	epsilon 0.864437
	b 0.565602
	m 1.1384
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 6 Probability 0.00133333
	epsilon 0.850333
	b 0.614458
	m 1.00071
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 7 Probability 0.00133333
	epsilon 0.860877
	b 0.606363
	m 0.972007
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 8 Probability 0.00133333
	epsilon 0.830047
	b 0.625369
	m 1.14946
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 9 Probability 0.00133333
	epsilon 0.915886
	b 0.546871
	m 1.1516
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 10 Probability 0.00133333
	epsilon 0.779132
	b 0.543186
	m 1.0185
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 11 Probability 0.00133333
	epsilon 0.762994
	b 0.654852
	m 0.827939
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 12 Probability 0.00133333
	epsilon 0.897403
	b 0.574146
	m 0.76917
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 13 Probability 0.00133333
	epsilon 0.850585
	b 0.550661
	m 0.97211
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 14 Probability 0.00133333
	epsilon 0.829171
	b 0.689865
	m 1.06172
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 15 Probability 0.00133333
	epsilon 0.907881
	b 0.580912
	m 1.13208
	Achild 1.3
	Aadult 0.7
