stoch file 
scenario 1 Probability 0.0005
	epsilon 0.765782
	b 0.50411
	m 1.05346
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 2 Probability 0.0005
	epsilon 0.891146
	b 0.537261
	m 0.873749
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 3 Probability 0.0005
	epsilon 0.811279
	b 0.615711
	m 1.01096
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 4 Probability 0.0005
	epsilon 0.769002
	b 0.599394
	m 1.22757
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 5 Probability 0.0005
	epsilon 0.836612
	b 0.581867
	m 1.13484
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 6 Probability 0.0005
	epsilon 0.828019
	b 0.688673
	m 1.23318
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 7 Probability 0.0005
	epsilon 0.83998
	b 0.608178
	m 1.03647
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 8 Probability 0.0005
	epsilon 0.87425
	b 0.579423
	m 0.958895
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 9 Probability 0.0005
	epsilon 0.818379
	b 0.66039
	m 1.10687
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 10 Probability 0.0005
	epsilon 0.838077
	b 0.540228
	m 0.795335
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 11 Probability 0.0005
	epsilon 0.764434
	b 0.588905
	m 0.820995
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 12 Probability 0.0005
	epsilon 0.91213
	b 0.572961
	m 0.953697
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 13 Probability 0.0005
	epsilon 0.815123
	b 0.600744
	m 0.886935
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 14 Probability 0.0005
	epsilon 0.831856
	b 0.687458
	m 0.978202
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 15 Probability 0.0005
	epsilon 0.949804
	b 0.587217
	m 1.02925
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 16 Probability 0.0005
	epsilon 0.925168
	b 0.671104
	m 0.964259
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 17 Probability 0.0005
