stoch file 
scenario 1 Probability 0.004
	epsilon 0.89358
	b 0.526627
	m 0.968631
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 2 Probability 0.004
	epsilon 0.786843
	b 0.640637
	m 1.10387
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 3 Probability 0.004
	epsilon 0.881441
	b 0.546741
	m 0.758877
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 4 Probability 0.004
	epsilon 0.766656
	b 0.53291
	m 1.04048
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 5 Probability 0.004
	epsilon 0.938186
	b 0.527979
	m 1.12803
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 6 Probability 0.004
	epsilon 0.86646
	b 0.583273
	m 0.893551
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 7 Probability 0.004
	epsilon 0.85096
	b 0.596481
	m 0.978477
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 8 Probability 0.004
	epsilon 0.770817
	b 0.580778
	m 1.12252
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 9 Probability 0.004
	epsilon 0.910133
	b 0.635684
	m 0.941205
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 10 Probability 0.004
	epsilon 0.928967
	b 0.667341
	m 0.862409
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 11 Probability 0.004
	epsilon 0.764441
	b 0.622615
	m 1.11625
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 12 Probability 0.004
	epsilon 0.782275
	b 0.600186
	m 1.07405
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 13 Probability 0.004
	epsilon 0.803543
	b 0.627488
	m 1.01623
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 14 Probability 0.004
	epsilon 0.794081
	b 0.592288
	m 0.995566
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 15 Probability 0.004
	epsilon 0.853437
	b 0.612797
	m 0.839829
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 16 Probability 0.004
	epsilon 0.843539
	b 0.513416
	m 0.996481
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 17 Probability 0.004
	epsilon 0.795159
	b 0.616291
	m 0.773964
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 18 Probability 0.004
	epsilon 0.903597
	b 0.66911
	m 1.05735
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 19 Probability 0.004
	epsilon 0.824733
	b 0.574055
	m 1.1585
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 20 Probability 0.004
	epsilon 0.864226
	b 0.562769
	m 1.00929
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 21 Probability 0.004
	epsilon 0.787404
	b 0.596664
	m 1.05757
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 22 Probability 0.004
	epsilon 0.915727
	b 0.597004
	m 1.1413
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 23 Probability 0.004
	epsilon 0.849151
	b 0.610381
	m 0.912354
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 24 Probability 0.004
	epsilon 0.874122
	b 0.592893
	m 1.1081
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 25 Probability 0.004
	epsilon 0.802061
	b 0.643646
	m 1.10292
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 26 Probability 0.004
	epsilon 0.750453
	b 0.591617
	m 1.19919
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 27 Probability 0.004
	epsilon 0.830738
	b 0.589038
	m 1.14089
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 28 Probability 0.004
	epsilon 0.858201
	b 0.609394
	m 0.985042
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 29 Probability 0.004
	epsilon 0.894829
	b 0.637493
	m 0.988077
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 30 Probability 0.004
	epsilon 0.829115
	b 0.625353
	m 1.00401
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 31 Probability 0.004
	epsilon 0.768023
	b 0.622317
	m 0.873471
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 32 Probability 0.004
	epsilon 0.854061
	b 0.682067
	m 1.22442
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 33 Probability 0.004
	epsilon 0.847162
	b 0.646476
	m 1.04852
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 34 Probability 0.004
	epsilon 0.933238
	b 0.585128
	m 1.10279
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 35 Probability 0.004
	epsilon 0.848713
	b 0.609986
	m 0.855787
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 36 Probability 0.004
	epsilon 0.897399
	b 0.65624
	m 1.23625
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 37 Probability 0.004
	epsilon 0.818094
	b 0.53486
	m 0.9757
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 38 Probability 0.004
	epsilon 0.844043
	b 0.662357
	m 1.10809
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 39 Probability 0.004
	epsilon 0.871299
	b 0.664667
	m 1.16408
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 40 Probability 0.004
	epsilon 0.84401
	b 0.592984
	m 0.775842
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 41 Probability 0.004
	epsilon 0.868838
	b 0.572865
	m 0.847247
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 42 Probability 0.004
	epsilon 0.931838
	b 0.633251
	m 1.10638
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 43 Probability 0.004
	epsilon 0.830834
	b 0.620061
	m 1.15929
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 44 Probability 0.004
	epsilon 0.857012
	b 0.669746
	m 0.990498
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 45 Probability 0.004
	epsilon 0.85421
	b 0.58749
	m 0.922325
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 46 Probability 0.004
	epsilon 0.796762
	b 0.67734
	m 0.984133
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 47 Probability 0.004
	epsilon 0.797585
	b 0.672625
	m 1.00884
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 48 Probability 0.004
	epsilon 0.78204
	b 0.60368
	m 0.889275
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 49 Probability 0.004
	epsilon 0.932442
	b 0.572933
	m 0.993335
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 50 Probability 0.004
	epsilon 0.85287
	b 0.617124
	m 0.983262
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 51 Probability 0.004
	epsilon 0.842351
	b 0.630908
	m 0.799759
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 52 Probability 0.004
	epsilon 0.87208
	b 0.620506
	m 0.860096
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 53 Probability 0.004
	epsilon 0.829976
	b 0.691979
	m 1.20761
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 54 Probability 0.004
	epsilon 0.756057
	b 0.579085
	m 1.01323
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 55 Probability 0.004
	epsilon 0.895678
	b 0.558244
	m 1.22768
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 56 Probability 0.004
	epsilon 0.865558
	b 0.584699
	m 0.760691
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 57 Probability 0.004
	epsilon 0.856149
	b 0.602566
	m 0.908302
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 58 Probability 0.004
	epsilon 0.852996
	b 0.533736
