stoch file 
scenario 1 Probability 0.00133333
	epsilon 0.89605
	b 0.591613
	m 1.17768
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 2 Probability 0.00133333
	epsilon 0.932088
	b 0.645231
	m 1.13425
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 3 Probability 0.00133333
	epsilon 0.913232
	b 0.645164
	m 1.01147
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 4 Probability 0.00133333
	epsilon 0.877959
	b 0.628392
	m 0.84904
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 5 Probability 0.00133333
	epsilon 0.916365
	b 0.665839
	m 1.02357
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 6 Probability 0.00133333
	epsilon 0.93419
	b 0.618316
	m 0.967686
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 7 Probability 0.00133333
	epsilon 0.909185
	b 0.630303
	m 0.875814
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 8 Probability 0.00133333
	epsilon 0.862447
	b 0.646447
	m 1.03884
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 9 Probability 0.00133333
	epsilon 0.805367
	b 0.519475
	m 1.08733
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 10 Probability 0.00133333
	epsilon 0.799717
	b 0.673436
	m 0.936312
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 11 Probability 0.00133333
	epsilon 0.781163
	b 0.6386
	m 0.880976
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 12 Probability 0.00133333
	epsilon 0.843731
	b 0.641382
	m 1.02709
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 13 Probability 0.00133333
	epsilon 0.773948
	b 0.599317
	m 0.763084
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 14 Probability 0.00133333
	epsilon 0.901226
	b 0.571137
	m 1.04641
	Achild 0.7
	Aadult 0.7
