stoch file 
scenario 1 Probability 0.0005
	epsilon 0.869296
	b 0.627135
	m 1.08068
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 2 Probability 0.0005
	epsilon 0.915886
	b 0.598521
	m 1.15795
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 3 Probability 0.0005
	epsilon 0.851318
	b 0.569693
	m 1.03714
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 4 Probability 0.0005
	epsilon 0.849379
	b 0.617709
	m 1.22713
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 5 Probability 0.0005
	epsilon 0.762943
	b 0.500552
	m 1.00145
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 6 Probability 0.0005
	epsilon 0.785914
	b 0.527878
	m 1.00198
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 7 Probability 0.0005
	epsilon 0.787003
	b 0.553781
	m 0.76867
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 8 Probability 0.0005
	epsilon 0.925668
	b 0.659207
	m 0.953044
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 9 Probability 0.0005
	epsilon 0.79659
	b 0.698979
	m 1.05208
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 10 Probability 0.0005
	epsilon 0.808978
	b 0.648033
	m 1.00858
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 11 Probability 0.0005
	epsilon 0.795059
	b 0.634687
	m 1.12234
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 12 Probability 0.0005
	epsilon 0.802778
	b 0.605347
	m 0.830732
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 13 Probability 0.0005
	epsilon 0.907041
	b 0.596907
	m 0.83861
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 14 Probability 0.0005
	epsilon 0.848599
	b 0.564603
	m 0.960302
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 15 Probability 0.0005
	epsilon 0.829318
	b 0.557761
	m 1.09292
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 16 Probability 0.0005
	epsilon 0.853551
	b 0.612932
	m 0.963059
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 17 Probability 0.0005
	epsilon 0.901691
	b 0.657419
	m 0.92016
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 18 Probability 0.0005
	epsilon 0.931011
	b 0.526538
	m 1.14069
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 19 Probability 0.0005
	epsilon 0.754467
	b 0.634903
	m 1.2267
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 20 Probability 0.0005
	epsilon 0.815955
	b 0.606288
	m 1.01136
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 21 Probability 0.0005
	epsilon 0.872561
	b 0.561897
	m 1.03826
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 22 Probability 0.0005
	epsilon 0.837615
	b 0.576894
	m 0.987837
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 23 Probability 0.0005
	epsilon 0.837459
	b 0.587646
	m 1.20645
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 24 Probability 0.0005
	epsilon 0.902528
	b 0.566953
	m 0.916106
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 25 Probability 0.0005
	epsilon 0.827496
	b 0.603456
	m 1.16885
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 26 Probability 0.0005
	epsilon 0.821418
	b 0.568198
	m 1.22052
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 27 Probability 0.0005
	epsilon 0.872868
	b 0.553883
	m 1.23531
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 28 Probability 0.0005
	epsilon 0.771033
	b 0.577504
	m 0.868989
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 29 Probability 0.0005
	epsilon 0.878806
	b 0.531521
	m 0.842393
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 30 Probability 0.0005
	epsilon 0.908948
	b 0.585224
	m 1.11516
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 31 Probability 0.0005
	epsilon 0.866331
	b 0.590394
	m 1.15432
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 32 Probability 0.0005
	epsilon 0.790433
	b 0.643986
	m 0.973046
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 33 Probability 0.0005
	epsilon 0.807182
	b 0.602603
	m 1.09781
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 34 Probability 0.0005
	epsilon 0.909141
	b 0.651196
	m 1.14377
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 35 Probability 0.0005
	epsilon 0.888264
	b 0.537728
	m 1.04045
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 36 Probability 0.0005
	epsilon 0.856993
	b 0.559331
	m 1.18158
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 37 Probability 0.0005
	epsilon 0.86914
	b 0.501439
	m 0.85787
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 38 Probability 0.0005
	epsilon 0.762819
	b 0.546079
	m 1.1322
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 39 Probability 0.0005
	epsilon 0.789281
	b 0.558044
	m 0.985115
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 40 Probability 0.0005
	epsilon 0.795243
	b 0.610286
	m 1.03692
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 41 Probability 0.0005
	epsilon 0.760187
	b 0.55736
	m 0.902036
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 42 Probability 0.0005
	epsilon 0.947909
	b 0.630995
	m 1.00419
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 43 Probability 0.0005
	epsilon 0.809341
	b 0.560814
	m 0.884016
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 44 Probability 0.0005
	epsilon 0.885319
	b 0.588231
	m 0.998914
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 45 Probability 0.0005
	epsilon 0.826671
	b 0.695184
	m 1.10018
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 46 Probability 0.0005
	epsilon 0.844753
	b 0.68247
	m 1.05474
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 47 Probability 0.0005
	epsilon 0.799555
	b 0.608221
	m 1.04441
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 48 Probability 0.0005
	epsilon 0.821738
	b 0.578436
	m 1.19807
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 49 Probability 0.0005
	epsilon 0.763684
	b 0.61851
	m 0.924181
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 50 Probability 0.0005
	epsilon 0.842634
	b 0.581299
	m 1.18828
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 51 Probability 0.0005
	epsilon 0.855579
	b 0.552543
	m 0.941967
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 52 Probability 0.0005
	epsilon 0.91105
	b 0.541255
	m 1.07124
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 53 Probability 0.0005
	epsilon 0.884687
	b 0.62096
	m 1.14522
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 54 Probability 0.0005
	epsilon 0.884877
	b 0.581129
	m 0.829301
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 55 Probability 0.0005
	epsilon 0.781467
	b 0.606448
	m 1.12421
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 56 Probability 0.0005
	epsilon 0.847853
	b 0.641534
