stoch file 
scenario 1 Probability 0.00133333
	epsilon 0.909053
	b 0.601068
	m 1.08748
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 2 Probability 0.00133333
	epsilon 0.767593
	b 0.596424
	m 1.23268
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 3 Probability 0.00133333
	epsilon 0.832046
	b 0.674646
	m 1.12401
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 4 Probability 0.00133333
	epsilon 0.830841
	b 0.615786
	m 0.999259
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 5 Probability 0.00133333
	epsilon 0.778098
	b 0.505202
	m 1.10226
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 6 Probability 0.00133333
	epsilon 0.866119
	b 0.523954
	m 1.0746
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 7 Probability 0.00133333
	epsilon 0.87648
	b 0.603731
	m 1.05684
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 8 Probability 0.00133333
	epsilon 0.865436
	b 0.525361
	m 0.989402
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 9 Probability 0.00133333
	epsilon 0.80935
	b 0.612891
	m 1.0302
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 10 Probability 0.00133333
	epsilon 0.778934
	b 0.57958
	m 0.919593
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 11 Probability 0.00133333
	epsilon 0.757129
	b 0.626875
	m 0.971461
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 12 Probability 0.00133333
	epsilon 0.850695
	b 0.61006
	m 1.13721
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 13 Probability 0.00133333
	epsilon 0.853065
	b 0.620431
	m 1.02672
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 14 Probability 0.00133333
	epsilon 0.87829
	b 0.624367
	m 0.999136
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 15 Probability 0.00133333
	epsilon 0.763365
	b 0.595177
	m 1.23808
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 16 Probability 0.00133333
	epsilon 0.826825
	b 0.557219
	m 1.08383
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 17 Probability 0.00133333
	epsilon 0.844824
	b 0.609451
	m 0.876653
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 18 Probability 0.00133333
	epsilon 0.849354
	b 0.584467
	m 1.00396
	Achild 0.7
	Aadult 0.7
	Aold 1.3
