stoch file 
scenario 1 Probability 0.0005
	epsilon 0.826076
	b 0.566353
	m 0.970088
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 2 Probability 0.0005
	epsilon 0.773738
	b 0.557402
	m 0.957723
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 3 Probability 0.0005
	epsilon 0.775798
	b 0.685832
	m 0.757994
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 4 Probability 0.0005
	epsilon 0.828508
	b 0.578919
	m 1.1552
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 5 Probability 0.0005
	epsilon 0.83994
	b 0.582647
	m 0.788407
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 6 Probability 0.0005
	epsilon 0.934311
	b 0.61327
	m 0.781189
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 7 Probability 0.0005
	epsilon 0.790826
	b 0.505485
	m 1.14025
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 8 Probability 0.0005
	epsilon 0.894029
	b 0.503687
	m 0.890472
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 9 Probability 0.0005
	epsilon 0.84436
	b 0.667246
	m 1.1292
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 10 Probability 0.0005
	epsilon 0.84618
	b 0.619214
	m 1.00809
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 11 Probability 0.0005
	epsilon 0.823972
	b 0.558881
	m 1.01176
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 12 Probability 0.0005
	epsilon 0.862842
	b 0.587528
	m 1.03382
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 13 Probability 0.0005
	epsilon 0.87139
	b 0.551175
	m 1.02909
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 14 Probability 0.0005
	epsilon 0.763118
	b 0.553839
	m 1.23715
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 15 Probability 0.0005
	epsilon 0.85151
	b 0.624375
	m 0.951706
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 16 Probability 0.0005
	epsilon 0.846841
	b 0.63387
	m 1.05044
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 17 Probability 0.0005
	epsilon 0.873152
	b 0.59963
	m 1.05551
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 18 Probability 0.0005
	epsilon 0.850238
	b 0.574162
	m 0.88525
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 19 Probability 0.0005
	epsilon 0.860816
	b 0.510553
	m 0.966982
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 20 Probability 0.0005
	epsilon 0.900066
	b 0.583558
	m 1.05039
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 21 Probability 0.0005
	epsilon 0.841749
	b 0.534138
	m 0.754189
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 22 Probability 0.0005
	epsilon 0.844981
	b 0.550951
	m 0.839046
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 23 Probability 0.0005
	epsilon 0.870536
	b 0.599743
	m 1.21731
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 24 Probability 0.0005
	epsilon 0.945113
	b 0.596298
	m 1.13436
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 25 Probability 0.0005
	epsilon 0.778541
	b 0.66558
	m 0.787069
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 26 Probability 0.0005
	epsilon 0.840686
	b 0.649234
	m 0.873104
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 27 Probability 0.0005
	epsilon 0.866831
	b 0.546283
	m 0.986093
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 28 Probability 0.0005
	epsilon 0.806896
	b 0.646861
	m 1.09657
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 29 Probability 0.0005
	epsilon 0.82052
	b 0.57654
	m 1.1322
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 30 Probability 0.0005
	epsilon 0.920213
	b 0.588053
	m 0.974309
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 31 Probability 0.0005
	epsilon 0.891696
	b 0.599529
	m 0.827832
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 32 Probability 0.0005
	epsilon 0.89892
	b 0.638847
	m 0.818894
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 33 Probability 0.0005
	epsilon 0.9184
	b 0.576386
	m 1.24841
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 34 Probability 0.0005
	epsilon 0.915292
	b 0.621723
	m 1.04107
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 35 Probability 0.0005
	epsilon 0.883417
	b 0.569953
	m 1.02053
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 36 Probability 0.0005
	epsilon 0.756524
	b 0.539756
	m 0.943215
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 37 Probability 0.0005
	epsilon 0.757036
	b 0.569403
	m 0.977969
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 38 Probability 0.0005
	epsilon 0.910094
	b 0.603087
	m 0.909214
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 39 Probability 0.0005
	epsilon 0.859428
	b 0.505171
	m 1.01781
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 40 Probability 0.0005
	epsilon 0.926098
	b 0.628765
	m 1.1977
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 41 Probability 0.0005
	epsilon 0.792037
	b 0.648072
	m 0.937
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 42 Probability 0.0005
	epsilon 0.835978
	b 0.655828
	m 1.00545
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 43 Probability 0.0005
	epsilon 0.817441
	b 0.579752
	m 1.00303
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 44 Probability 0.0005
	epsilon 0.832836
	b 0.581159
	m 0.90296
