stoch file 
scenario 1 Probability 0.001
	epsilon 0.812316
	b 0.658795
	m 0.997122
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 2 Probability 0.001
	epsilon 0.905381
	b 0.64105
	m 0.965033
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 3 Probability 0.001
	epsilon 0.901532
	b 0.61088
	m 1.09767
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 4 Probability 0.001
	epsilon 0.906562
	b 0.599136
	m 0.939092
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 5 Probability 0.001
	epsilon 0.821868
	b 0.645058
	m 0.945512
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 6 Probability 0.001
	epsilon 0.805429
	b 0.682588
	m 1.11649
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 7 Probability 0.001
	epsilon 0.932275
	b 0.595684
	m 0.996512
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 8 Probability 0.001
	epsilon 0.805353
	b 0.53937
	m 0.912494
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 9 Probability 0.001
	epsilon 0.820835
	b 0.662659
	m 1.10815
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 10 Probability 0.001
	epsilon 0.850517
	b 0.614476
	m 0.912851
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 11 Probability 0.001
	epsilon 0.854638
	b 0.503822
	m 0.785689
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 12 Probability 0.001
	epsilon 0.82763
	b 0.558244
	m 0.799606
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 13 Probability 0.001
	epsilon 0.828602
	b 0.529089
	m 0.923426
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 14 Probability 0.001
	epsilon 0.940678
	b 0.573345
	m 0.919992
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 15 Probability 0.001
	epsilon 0.836048
	b 0.521589
	m 1.07005
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 16 Probability 0.001
	epsilon 0.851656
	b 0.628594
	m 0.84469
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 17 Probability 0.001
	epsilon 0.868407
	b 0.663249
	m 1.21184
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 18 Probability 0.001
	epsilon 0.896632
	b 0.694162
	m 1.23241
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 19 Probability 0.001
	epsilon 0.774955
	b 0.661699
	m 1.09318
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
