stoch file 
scenario 1 Probability 0.002
	epsilon 0.789889
	b 0.594218
	m 0.882519
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 2 Probability 0.002
	epsilon 0.828504
	b 0.62783
	m 1.05185
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 3 Probability 0.002
	epsilon 0.803281
	b 0.577025
	m 1.21954
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 4 Probability 0.002
	epsilon 0.850382
	b 0.596393
	m 1.14208
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 5 Probability 0.002
	epsilon 0.898206
	b 0.550995
	m 0.910767
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 6 Probability 0.002
	epsilon 0.892486
	b 0.536716
	m 1.05604
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 7 Probability 0.002
	epsilon 0.9493
	b 0.639253
	m 0.835138
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 8 Probability 0.002
	epsilon 0.856461
	b 0.594214
	m 1.22743
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 9 Probability 0.002
	epsilon 0.865408
	b 0.63914
	m 1.04601
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 10 Probability 0.002
	epsilon 0.860398
	b 0.691232
	m 0.997523
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 11 Probability 0.002
	epsilon 0.878806
	b 0.608327
	m 1.16241
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 12 Probability 0.002
	epsilon 0.836125
	b 0.54883
	m 0.853576
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 13 Probability 0.002
	epsilon 0.801606
	b 0.636662
	m 1.05503
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 14 Probability 0.002
	epsilon 0.900177
	b 0.612762
	m 0.810684
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 15 Probability 0.002
	epsilon 0.8862
	b 0.544049
	m 1.08164
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 16 Probability 0.002
	epsilon 0.855231
	b 0.693732
	m 1.03257
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 17 Probability 0.002
	epsilon 0.928377
	b 0.536088
	m 0.926342
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 18 Probability 0.002
	epsilon 0.873672
	b 0.615077
	m 1.09687
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 19 Probability 0.002
	epsilon 0.868941
	b 0.512344
	m 0.978651
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 20 Probability 0.002
	epsilon 0.933084
	b 0.617498
	m 1.08809
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 21 Probability 0.002
	epsilon 0.907447
	b 0.602763
	m 0.953154
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 22 Probability 0.002
	epsilon 0.860303
	b 0.674145
	m 0.887283
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 23 Probability 0.002
	epsilon 0.919165
	b 0.667156
	m 1.07286
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 24 Probability 0.002
	epsilon 0.840693
	b 0.656965
	m 0.868537
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 25 Probability 0.002
	epsilon 0.846664
	b 0.595464
	m 1.06239
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 26 Probability 0.002
	epsilon 0.757806
	b 0.663358
	m 1.02622
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 27 Probability 0.002
	epsilon 0.879969
	b 0.603112
	m 0.87145
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 28 Probability 0.002
	epsilon 0.799808
	b 0.613692
	m 0.752429
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 29 Probability 0.002
	epsilon 0.874539
	b 0.595503
	m 1.24751
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 30 Probability 0.002
	epsilon 0.839307
	b 0.634135
	m 1.0155
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 31 Probability 0.002
	epsilon 0.906186
	b 0.645538
	m 1.10882
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 32 Probability 0.002
	epsilon 0.904409
	b 0.631237
	m 1.04349
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 33 Probability 0.002
	epsilon 0.833655
	b 0.593936
	m 1.01118
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 34 Probability 0.002
	epsilon 0.83319
	b 0.59493
	m 1.12513
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 35 Probability 0.002
	epsilon 0.912968
	b 0.564359
	m 0.925942
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 36 Probability 0.002
	epsilon 0.793342
	b 0.641128
	m 0.800777
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 37 Probability 0.002
	epsilon 0.871575
	b 0.503037
	m 0.924067
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 38 Probability 0.002
	epsilon 0.785636
	b 0.51467
	m 0.973343
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 39 Probability 0.002
	epsilon 0.753013
	b 0.566728
	m 1.01206
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 40 Probability 0.002
	epsilon 0.817373
	b 0.50633
	m 1.05831
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 41 Probability 0.002
	epsilon 0.774143
	b 0.629545
	m 0.794087
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 42 Probability 0.002
	epsilon 0.923125
	b 0.51576
	m 0.966712
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 43 Probability 0.002
	epsilon 0.809871
	b 0.669043
	m 1.08607
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 44 Probability 0.002
	epsilon 0.941971
	b 0.561512
	m 0.995698
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 45 Probability 0.002
	epsilon 0.867735
	b 0.546523
	m 1.02908
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 46 Probability 0.002
	epsilon 0.788584
	b 0.677393
	m 0.944799
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 47 Probability 0.002
	epsilon 0.809212
	b 0.591091
	m 1.00773
	Achild 1.3
