stoch file 
scenario 1 Probability 0.001
	epsilon 0.779082
	b 0.633938
	m 0.811155
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 2 Probability 0.001
	epsilon 0.9088
	b 0.541183
	m 0.986689
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 3 Probability 0.001
	epsilon 0.909872
	b 0.654867
	m 1.0145
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 4 Probability 0.001
	epsilon 0.943655
	b 0.591547
	m 0.937608
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 5 Probability 0.001
	epsilon 0.883498
	b 0.562178
	m 0.831347
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 6 Probability 0.001
	epsilon 0.829059
	b 0.675759
	m 0.961088
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 7 Probability 0.001
	epsilon 0.838262
	b 0.578053
	m 0.818121
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 8 Probability 0.001
	epsilon 0.769679
	b 0.590495
	m 1.21377
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 9 Probability 0.001
	epsilon 0.766255
	b 0.535252
	m 0.89591
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 10 Probability 0.001
	epsilon 0.829378
	b 0.692317
	m 1.0483
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 11 Probability 0.001
	epsilon 0.847362
	b 0.521542
	m 1.01496
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 12 Probability 0.001
	epsilon 0.894876
	b 0.690686
	m 1.07648
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 13 Probability 0.001
	epsilon 0.806613
	b 0.586685
	m 0.754678
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 14 Probability 0.001
	epsilon 0.819146
	b 0.667353
	m 1.18256
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 15 Probability 0.001
	epsilon 0.769468
	b 0.555439
	m 1.07132
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 16 Probability 0.001
	epsilon 0.826683
	b 0.527665
	m 1.16591
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 17 Probability 0.001
	epsilon 0.845675
	b 0.645144
	m 0.977969
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 18 Probability 0.001
	epsilon 0.886741
	b 0.573857
	m 0.866307
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 19 Probability 0.001
	epsilon 0.871496
	b 0.684616
	m 1.15174
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 20 Probability 0.001
	epsilon 0.765099
	b 0.639199
	m 0.753393
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 21 Probability 0.001
	epsilon 0.910759
	b 0.560085
	m 0.90711
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 22 Probability 0.001
	epsilon 0.823464
	b 0.611248
	m 0.921051
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 23 Probability 0.001
	epsilon 0.854827
	b 0.566966
	m 0.957903
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 24 Probability 0.001
	epsilon 0.863535
	b 0.56157
	m 0.887582
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 25 Probability 0.001
	epsilon 0.908762
	b 0.510777
	m 1.09615
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 26 Probability 0.001
	epsilon 0.772395
	b 0.631487
	m 1.14843
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 27 Probability 0.001
	epsilon 0.770831
	b 0.645149
	m 0.999992
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 28 Probability 0.001
	epsilon 0.773075
	b 0.585231
	m 1.14781
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 29 Probability 0.001
	epsilon 0.863019
	b 0.649134
	m 0.9614
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 30 Probability 0.001
	epsilon 0.896856
	b 0.52511
	m 1.01431
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 31 Probability 0.001
	epsilon 0.900576
	b 0.582709
	m 0.810277
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 32 Probability 0.001
	epsilon 0.77264
	b 0.534544
	m 0.759875
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 33 Probability 0.001
	epsilon 0.785978
	b 0.694869
	m 1.05068
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 34 Probability 0.001
	epsilon 0.836803
	b 0.542407
	m 1.14394
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 35 Probability 0.001
	epsilon 0.887693
	b 0.568001
	m 0.860536
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 36 Probability 0.001
	epsilon 0.837303
	b 0.682171
	m 0.973844
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 37 Probability 0.001
	epsilon 0.846411
	b 0.606142
	m 1.12055
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 38 Probability 0.001
	epsilon 0.948267
	b 0.598317
	m 1.07782
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 39 Probability 0.001
	epsilon 0.809446
	b 0.586929
	m 0.907707
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 40 Probability 0.001
	epsilon 0.804115
	b 0.556156
	m 1.24492
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 41 Probability 0.001
	epsilon 0.938053
	b 0.597538
	m 1.24388
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 42 Probability 0.001
	epsilon 0.910189
	b 0.650081
	m 1.08767
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 43 Probability 0.001
	epsilon 0.8998
	b 0.578882
	m 1.17677
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 44 Probability 0.001
	epsilon 0.803105
	b 0.60321
	m 0.993029
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 45 Probability 0.001
	epsilon 0.876103
	b 0.674414
	m 0.923021
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 46 Probability 0.001
	epsilon 0.817161
	b 0.670466
	m 0.809281
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 47 Probability 0.001
	epsilon 0.799424
	b 0.56347
	m 1.17865
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 48 Probability 0.001
	epsilon 0.878647
	b 0.593471
	m 0.847963
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 49 Probability 0.001
	epsilon 0.75192
	b 0.677083
	m 0.985996
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 50 Probability 0.001
	epsilon 0.907143
	b 0.633904
	m 0.97436
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 51 Probability 0.001
	epsilon 0.886319
	b 0.577339
	m 0.974055
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 52 Probability 0.001
	epsilon 0.814742
	b 0.544486
	m 0.917075
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 53 Probability 0.001
	epsilon 0.803558
	b 0.52558
	m 1.04217
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 54 Probability 0.001
	epsilon 0.832214
	b 0.654404
	m 0.827559
	Achild 1.3
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 55 Probability 0.001
	epsilon 0.941102
	b 0.507445
	m 0.940093
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 56 Probability 0.001
	epsilon 0.863591
	b 0.6076
	m 1.20425
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 57 Probability 0.001
	epsilon 0.838591
	b 0.649946
	m 0.98215
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 58 Probability 0.001
	epsilon 0.873048
	b 0.581622
	m 1.0951
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 59 Probability 0.001
	epsilon 0.879648
	b 0.667365
	m 1.03363
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 60 Probability 0.001
	epsilon 0.827996
	b 0.544337
	m 1.0639
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 61 Probability 0.001
	epsilon 0.847722
	b 0.53338
	m 1.1966
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 62 Probability 0.001
	epsilon 0.91412
	b 0.552518
	m 0.912906
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 63 Probability 0.001
	epsilon 0.827992
	b 0.588159
	m 0.892603
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 64 Probability 0.001
	epsilon 0.849734
	b 0.664626
	m 1.16873
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 65 Probability 0.001
	epsilon 0.76972
	b 0.629447
	m 1.1278
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 66 Probability 0.001
	epsilon 0.831703
	b 0.612603
	m 0.930023
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 67 Probability 0.001
	epsilon 0.8834
	b 0.520905
	m 0.965576
	Achild 1.3
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 0.7
	Bold 0.7
scenario 68 Probability 0.001
	epsilon 0.852309
	b 0.573193
	m 0.784228
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 69 Probability 0.001
	epsilon 0.883417
	b 0.596753
	m 0.930144
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 70 Probability 0.001
	epsilon 0.779429
	b 0.617476
	m 0.795837
	Achild 1.3
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 71 Probability 0.001
	epsilon 0.829014
	b 0.556217
	m 0.862422
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 0.7
	Bold 0.7
scenario 72 Probability 0.001
	epsilon 0.75231
	b 0.600606
	m 1.12389
	Achild 0.7
	Aadult 0.7
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 73 Probability 0.001
	epsilon 0.828833
	b 0.638623
	m 0.803739
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 0.7
scenario 74 Probability 0.001
	epsilon 0.872168
	b 0.570295
	m 0.935444
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 0.7
	Badult 1.3
	Bold 1.3
scenario 75 Probability 0.001
	epsilon 0.936758
	b 0.598139
	m 0.822691
	Achild 0.7
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 76 Probability 0.001
	epsilon 0.848348
	b 0.618019
	m 0.773814
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 77 Probability 0.001
	epsilon 0.770439
	b 0.615465
	m 1.0342
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 0.7
	Bold 1.3
scenario 78 Probability 0.001
	epsilon 0.947148
	b 0.553587
	m 0.941784
	Achild 0.7
	Aadult 0.7
	Aold 1.3
	Bchild 1.3
	Badult 0.7
	Bold 1.3
scenario 79 Probability 0.001
	epsilon 0.813541
	b 0.558295
	m 1.20358
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 0.7
	Badult 1.3
	Bold 0.7
scenario 80 Probability 0.001
	epsilon 0.880452
	b 0.641863
	m 0.946203
	Achild 1.3
	Aadult 1.3
	Aold 0.7
	Bchild 1.3
	Badult 1.3
	Bold 1.3
scenario 81 Probability 0.001
	epsilon 0.801045
	b 0.624855
	m 1.04817
	Achild 0.7
	Aadult 1.3
	Aold 1.3
	Bchild 1.3
